title,csoshortname,description,catalogitemNumber,commercialUnitPrice,commercialUnitOfIssue,customerUnitPrice,customerUnitOfIssue,discountpremiumfee
Azure Advisor,Azure Advisor,,ITEM-00053,14.263,Month,10.697,Month,25%
Azure Site Recovery,Azure Site Recovery,,ITEM-00054,19.424,Month,14.568,Month,25%
Azure Private Link,Azure Private Link,,ITEM-00055,43.028,Month,32.271,Month,25%
Azure Databricks,Azure Databricks,,ITEM-00056,41.168,Month,30.876,Month,25%
Azure Firewall,Azure Firewall,,ITEM-00057,12.175,Month,9.131,Month,25%
Azure Load Balancer,Azure Load Balancer,,ITEM-00058,27.71,Month,20.782,Month,25%
Azure Load Balancer,Azure Load Balancer,,ITEM-00059,25.144,Month,18.858,Month,25%
Azure Advisor,Azure Advisor,,ITEM-00060,36.885,Month,27.664,Month,25%
Azure Front Door,Azure Front Door,,ITEM-00061,12.486,Month,9.364,Month,25%
Azure Cache for Redis,Azure Cache for Redis,,ITEM-00062,23.436,Month,17.577,Month,25%
Azure Event Hubs,Azure Event Hubs,,ITEM-00063,20.124,Month,15.093,Month,25%
Azure Firewall,Azure Firewall,,ITEM-00064,45.178,Month,33.883,Month,25%
Azure Private Link,Azure Private Link,,ITEM-00065,47.101,Month,35.326,Month,25%
Azure Monitor,Azure Monitor,,ITEM-00066,12.03,Month,9.022,Month,25%
Azure DNS,Azure DNS,,ITEM-00067,16.907,Month,12.68,Month,25%
Azure Event Hubs,Azure Event Hubs,,ITEM-00068,31.319,Month,23.489,Month,25%
Azure Stream Analytics,Azure Stream Analytics,,ITEM-00069,26.174,Month,19.63,Month,25%
Azure Arc,Azure Arc,,ITEM-00070,25.203,Month,18.902,Month,25%
Azure Cache for Redis,Azure Cache for Redis,,ITEM-00071,7.043,Month,5.282,Month,25%
Azure Cosmos DB,Azure Cosmos DB,,ITEM-00072,32.643,Month,24.482,Month,25%
Azure Event Hubs,Azure Event Hubs,,ITEM-00073,3.083,Month,2.312,Month,25%
Azure Databricks,Azure Databricks,,ITEM-00074,48.661,Month,36.496,Month,25%
Azure Data Factory,Azure Data Factory,,ITEM-00075,4.744,Month,3.558,Month,25%
Azure Traffic Manager,Azure Traffic Manager,,ITEM-00076,44.633,Month,33.475,Month,25%
Azure Batch,Azure Batch,,ITEM-00077,11.951,Month,8.963,Month,25%
Azure Firewall,Azure Firewall,,ITEM-00078,29.292,Month,21.969,Month,25%
Azure Cosmos DB,Azure Cosmos DB,,ITEM-00079,20.656,Month,15.492,Month,25%
Azure SQL Database,Azure SQL Database,,ITEM-00080,24.06,Month,18.045,Month,25%
Azure Virtual Network,Azure Virtual Network,,ITEM-00081,44.004,Month,33.003,Month,25%
Azure Stream Analytics,Azure Stream Analytics,,ITEM-00082,45.32,Month,33.99,Month,25%
Azure Advisor,Azure Advisor,,ITEM-00083,0.609,Month,0.457,Month,25%
Azure Active Directory,Azure Active Directory,,ITEM-00084,16.374,Month,12.28,Month,25%
Azure Synapse Analytics,Azure Synapse Analytics,,ITEM-00085,10.896,Month,8.172,Month,25%
Azure Spring Apps,Azure Spring Apps,,ITEM-00086,0.91,Month,0.682,Month,25%
Azure Arc,Azure Arc,,ITEM-00087,42.967,Month,32.225,Month,25%
Azure Cache for Redis,Azure Cache for Redis,,ITEM-00088,34.182,Month,25.637,Month,25%
Azure API Management,Azure API Management,,ITEM-00089,24.465,Month,18.349,Month,25%
Azure Spring Apps,Azure Spring Apps,,ITEM-00090,21.828,Month,16.371,Month,25%
Azure Active Directory,Azure Active Directory,,ITEM-00091,12.851,Month,9.638,Month,25%
Azure App Service,Azure App Service,,ITEM-00092,6.054,Month,4.54,Month,25%
Azure Monitor,Azure Monitor,,ITEM-00093,17.107,Month,12.83,Month,25%
Azure Logic Apps,Azure Logic Apps,,ITEM-00094,6.34,Month,4.755,Month,25%
Azure DNS,Azure DNS,,ITEM-00095,16.519,Month,12.389,Month,25%
Azure API Management,Azure API Management,,ITEM-00096,40.445,Month,30.334,Month,25%
Azure Key Vault,Azure Key Vault,,ITEM-00097,44.802,Month,33.602,Month,25%
Azure Front Door,Azure Front Door,,ITEM-00098,17.118,Month,12.838,Month,25%
Azure Batch,Azure Batch,,ITEM-00099,16.562,Month,12.422,Month,25%
Azure Purview,Azure Purview,,ITEM-00100,18.065,Month,13.549,Month,25%
Azure Event Hubs,Azure Event Hubs,,ITEM-00101,23.624,Month,17.718,Month,25%
Azure HDInsight,Azure HDInsight,,ITEM-00102,24.643,Month,18.482,Month,25%
Azure Virtual Machines,Azure Virtual Machines,,ITEM-00103,25.449,Month,19.087,Month,25%
Azure Purview,Azure Purview,,ITEM-00104,49.136,Month,36.852,Month,25%
Azure Virtual Machines,Azure Virtual Machines,,ITEM-00105,49.751,Month,37.313,Month,25%
Azure Synapse Analytics,Azure Synapse Analytics,,ITEM-00106,3.719,Month,2.789,Month,25%
Azure Synapse Analytics,Azure Synapse Analytics,,ITEM-00107,38.353,Month,28.765,Month,25%
Azure API Management,Azure API Management,,ITEM-00108,6.796,Month,5.097,Month,25%
Azure Traffic Manager,Azure Traffic Manager,,ITEM-00109,49.464,Month,37.098,Month,25%
Azure Container Instances,Azure Container Instances,,ITEM-00110,18.165,Month,13.624,Month,25%
Azure SQL Database,Azure SQL Database,,ITEM-00111,0.459,Month,0.344,Month,25%
Azure Cache for Redis,Azure Cache for Redis,,ITEM-00112,30.069,Month,22.552,Month,25%
Azure Container Instances,Azure Container Instances,,ITEM-00113,36.709,Month,27.532,Month,25%
Azure Logic Apps,Azure Logic Apps,,ITEM-00114,2.123,Month,1.592,Month,25%
Azure Virtual Network,Azure Virtual Network,,ITEM-00115,35.889,Month,26.917,Month,25%
Azure Databricks,Azure Databricks,,ITEM-00116,19.968,Month,14.976,Month,25%
Azure SQL Database,Azure SQL Database,,ITEM-00117,42.027,Month,31.52,Month,25%
Azure Blob Storage,Azure Blob Storage,,ITEM-00118,1.848,Month,1.386,Month,25%
Azure Site Recovery,Azure Site Recovery,,ITEM-00119,17.316,Month,12.987,Month,25%
Azure Cache for Redis,Azure Cache for Redis,,ITEM-00120,30.02,Month,22.515,Month,25%
Azure Cache for Redis,Azure Cache for Redis,,ITEM-00121,42.069,Month,31.552,Month,25%
Azure Event Hubs,Azure Event Hubs,,ITEM-00122,48.511,Month,36.383,Month,25%
Azure App Service,Azure App Service,,ITEM-00123,48.273,Month,36.205,Month,25%
Azure App Service,Azure App Service,,ITEM-00124,18.35,Month,13.763,Month,25%
Azure Arc,Azure Arc,,ITEM-00125,0.777,Month,0.583,Month,25%
Azure Service Bus,Azure Service Bus,,ITEM-00126,2.554,Month,1.915,Month,25%
Azure HDInsight,Azure HDInsight,,ITEM-00127,26.032,Month,19.524,Month,25%
Azure Backup,Azure Backup,,ITEM-00128,9.053,Month,6.79,Month,25%
Azure Kubernetes Service (AKS),Azure Kubernetes Service (AKS),,ITEM-00129,23.429,Month,17.572,Month,25%
Azure Spring Apps,Azure Spring Apps,,ITEM-00130,2.792,Month,2.094,Month,25%
Azure Synapse Analytics,Azure Synapse Analytics,,ITEM-00131,19.44,Month,14.58,Month,25%
Azure Cosmos DB,Azure Cosmos DB,,ITEM-00132,17.113,Month,12.835,Month,25%
Azure HDInsight,Azure HDInsight,,ITEM-00133,41.353,Month,31.015,Month,25%
Azure Purview,Azure Purview,,ITEM-00134,36.965,Month,27.724,Month,25%
Azure Synapse Analytics,Azure Synapse Analytics,,ITEM-00135,17.19,Month,12.893,Month,25%
Azure Monitor,Azure Monitor,,ITEM-00136,13.246,Month,9.934,Month,25%
Azure Virtual Network,Azure Virtual Network,,ITEM-00137,4.173,Month,3.13,Month,25%
Azure Blob Storage,Azure Blob Storage,,ITEM-00138,27.87,Month,20.902,Month,25%
Azure SQL Database,Azure SQL Database,,ITEM-00139,26.047,Month,19.535,Month,25%
Azure Load Balancer,Azure Load Balancer,,ITEM-00140,43.511,Month,32.633,Month,25%
Azure Active Directory,Azure Active Directory,,ITEM-00141,8.807,Month,6.605,Month,25%
Azure Databricks,Azure Databricks,,ITEM-00142,27.796,Month,20.847,Month,25%
Azure Key Vault,Azure Key Vault,,ITEM-00143,27.033,Month,20.275,Month,25%
Azure Active Directory,Azure Active Directory,,ITEM-00144,47.324,Month,35.493,Month,25%
Azure Bastion,Azure Bastion,,ITEM-00145,6.848,Month,5.136,Month,25%
Azure Virtual Network,Azure Virtual Network,,ITEM-00146,25.516,Month,19.137,Month,25%
Azure ExpressRoute,Azure ExpressRoute,,ITEM-00147,31.08,Month,23.31,Month,25%
Azure Logic Apps,Azure Logic Apps,,ITEM-00148,48.939,Month,36.704,Month,25%
Azure Analysis Services,Azure Analysis Services,,ITEM-00149,46.565,Month,34.924,Month,25%
Azure Bastion,Azure Bastion,,ITEM-00150,0.547,Month,0.41,Month,25%
Azure SQL Database,Azure SQL Database,,ITEM-00151,46.8,Month,35.1,Month,25%
Azure Load Balancer,Azure Load Balancer,,ITEM-00152,35.169,Month,26.377,Month,25%
Azure Databricks,Azure Databricks,,ITEM-00153,0.903,Month,0.677,Month,25%
Azure Virtual Machines,Azure Virtual Machines,,ITEM-00154,40.029,Month,30.022,Month,25%
Azure Cache for Redis,Azure Cache for Redis,,ITEM-00155,28.293,Month,21.22,Month,25%
Azure Virtual Network,Azure Virtual Network,,ITEM-00156,44.849,Month,33.637,Month,25%
Azure HDInsight,Azure HDInsight,,ITEM-00157,13.734,Month,10.3,Month,25%
Azure Analysis Services,Azure Analysis Services,,ITEM-00158,30.004,Month,22.503,Month,25%
Azure Traffic Manager,Azure Traffic Manager,,ITEM-00159,6.598,Month,4.949,Month,25%
Azure Kubernetes Service (AKS),Azure Kubernetes Service (AKS),,ITEM-00160,33.459,Month,25.094,Month,25%
Azure Data Factory,Azure Data Factory,,ITEM-00161,4.316,Month,3.237,Month,25%
Azure ExpressRoute,Azure ExpressRoute,,ITEM-00162,26.055,Month,19.541,Month,25%
Azure Monitor,Azure Monitor,,ITEM-00163,30.471,Month,22.853,Month,25%
Azure Arc,Azure Arc,,ITEM-00164,6.864,Month,5.148,Month,25%
Azure Bastion,Azure Bastion,,ITEM-00165,31.948,Month,23.961,Month,25%
Azure Backup,Azure Backup,,ITEM-00166,28.483,Month,21.362,Month,25%
Azure Site Recovery,Azure Site Recovery,,ITEM-00167,11.369,Month,8.527,Month,25%
Azure Service Bus,Azure Service Bus,,ITEM-00168,15.994,Month,11.995,Month,25%
Azure Data Factory,Azure Data Factory,,ITEM-00169,32.951,Month,24.713,Month,25%
Azure Active Directory,Azure Active Directory,,ITEM-00170,16.674,Month,12.505,Month,25%
Azure Virtual Network,Azure Virtual Network,,ITEM-00171,26.597,Month,19.948,Month,25%
Azure Batch,Azure Batch,,ITEM-00172,45.693,Month,34.27,Month,25%
Azure SQL Database,Azure SQL Database,,ITEM-00173,30.12,Month,22.59,Month,25%
Azure Functions,Azure Functions,,ITEM-00174,21.555,Month,16.166,Month,25%
Azure Stream Analytics,Azure Stream Analytics,,ITEM-00175,38.318,Month,28.738,Month,25%
Azure Monitor,Azure Monitor,,ITEM-00176,24.03,Month,18.023,Month,25%
Azure Functions,Azure Functions,,ITEM-00177,25.81,Month,19.357,Month,25%
Azure Active Directory,Azure Active Directory,,ITEM-00178,44.369,Month,33.277,Month,25%
Azure Spring Apps,Azure Spring Apps,,ITEM-00179,14.261,Month,10.696,Month,25%
Azure SignalR Service,Azure SignalR Service,,ITEM-00180,24.401,Month,18.301,Month,25%
Azure Databricks,Azure Databricks,,ITEM-00181,9.025,Month,6.769,Month,25%
Azure API Management,Azure API Management,,ITEM-00182,27.345,Month,20.509,Month,25%
Azure Event Hubs,Azure Event Hubs,,ITEM-00183,49.983,Month,37.487,Month,25%
Azure SQL Database,Azure SQL Database,,ITEM-00184,29.452,Month,22.089,Month,25%
Azure Kubernetes Service (AKS),Azure Kubernetes Service (AKS),,ITEM-00185,24.841,Month,18.631,Month,25%
Azure Service Bus,Azure Service Bus,,ITEM-00186,7.697,Month,5.773,Month,25%
Azure DNS,Azure DNS,,ITEM-00187,21.677,Month,16.258,Month,25%
Azure ExpressRoute,Azure ExpressRoute,,ITEM-00188,36.015,Month,27.011,Month,25%
Azure Container Instances,Azure Container Instances,,ITEM-00189,17.369,Month,13.027,Month,25%
Azure Container Instances,Azure Container Instances,,ITEM-00190,32.913,Month,24.685,Month,25%
Azure Event Hubs,Azure Event Hubs,,ITEM-00191,29.534,Month,22.151,Month,25%
Azure Virtual Machines,Azure Virtual Machines,,ITEM-00192,42.268,Month,31.701,Month,25%
Azure Firewall,Azure Firewall,,ITEM-00193,3.512,Month,2.634,Month,25%
Azure Active Directory,Azure Active Directory,,ITEM-00194,18.774,Month,14.081,Month,25%
Azure Traffic Manager,Azure Traffic Manager,,ITEM-00195,14.318,Month,10.739,Month,25%
Azure Backup,Azure Backup,,ITEM-00196,13.662,Month,10.247,Month,25%
Azure Backup,Azure Backup,,ITEM-00197,37.33,Month,27.997,Month,25%
Azure SQL Database,Azure SQL Database,,ITEM-00198,29.995,Month,22.496,Month,25%
Azure Private Link,Azure Private Link,,ITEM-00199,44.783,Month,33.587,Month,25%
Azure Load Balancer,Azure Load Balancer,,ITEM-00200,27.096,Month,20.322,Month,25%
Azure Bastion,Azure Bastion,,ITEM-00201,7.594,Month,5.696,Month,25%
Azure Bastion,Azure Bastion,,ITEM-00202,5.417,Month,4.063,Month,25%
Azure SQL Database,Azure SQL Database,,ITEM-00203,49.388,Month,37.041,Month,25%
Azure Synapse Analytics,Azure Synapse Analytics,,ITEM-00204,29.357,Month,22.018,Month,25%
Azure ExpressRoute,Azure ExpressRoute,,ITEM-00205,8.485,Month,6.364,Month,25%
Azure Load Balancer,Azure Load Balancer,,ITEM-00206,13.289,Month,9.967,Month,25%
Azure Key Vault,Azure Key Vault,,ITEM-00207,11.775,Month,8.831,Month,25%
Azure Batch,Azure Batch,,ITEM-00208,16.549,Month,12.412,Month,25%
Azure Spring Apps,Azure Spring Apps,,ITEM-00209,41.94,Month,31.455,Month,25%
Azure Firewall,Azure Firewall,,ITEM-00210,15.835,Month,11.876,Month,25%
Azure Virtual Machines,Azure Virtual Machines,,ITEM-00211,28.221,Month,21.166,Month,25%
Azure Event Hubs,Azure Event Hubs,,ITEM-00212,18.354,Month,13.765,Month,25%
Azure Advisor,Azure Advisor,,ITEM-00213,10.443,Month,7.832,Month,25%
Azure Container Instances,Azure Container Instances,,ITEM-00214,26.23,Month,19.672,Month,25%
Azure Virtual Machines,Azure Virtual Machines,,ITEM-00215,19.314,Month,14.486,Month,25%
Azure Virtual Network,Azure Virtual Network,,ITEM-00216,11.004,Month,8.253,Month,25%
Azure Cache for Redis,Azure Cache for Redis,,ITEM-00217,40.273,Month,30.205,Month,25%
Azure Machine Learning,Azure Machine Learning,,ITEM-00218,43.803,Month,32.852,Month,25%
Azure Active Directory,Azure Active Directory,,ITEM-00219,38.186,Month,28.639,Month,25%
Azure Monitor,Azure Monitor,,ITEM-00220,39.075,Month,29.306,Month,25%
Azure DNS,Azure DNS,,ITEM-00221,20.352,Month,15.264,Month,25%
Azure Logic Apps,Azure Logic Apps,,ITEM-00222,21.633,Month,16.225,Month,25%
Azure Data Factory,Azure Data Factory,,ITEM-00223,46.193,Month,34.645,Month,25%
Azure SQL Database,Azure SQL Database,,ITEM-00224,14.878,Month,11.159,Month,25%
Azure App Service,Azure App Service,,ITEM-00225,45.284,Month,33.963,Month,25%
Azure Load Balancer,Azure Load Balancer,,ITEM-00226,44.286,Month,33.215,Month,25%
Azure Virtual Machines,Azure Virtual Machines,,ITEM-00227,13.104,Month,9.828,Month,25%
Azure Site Recovery,Azure Site Recovery,,ITEM-00228,15.711,Month,11.783,Month,25%
Azure Monitor,Azure Monitor,,ITEM-00229,2.115,Month,1.586,Month,25%
Azure SignalR Service,Azure SignalR Service,,ITEM-00230,34.237,Month,25.678,Month,25%
Azure Cosmos DB,Azure Cosmos DB,,ITEM-00231,24.15,Month,18.112,Month,25%
Azure Firewall,Azure Firewall,,ITEM-00232,48.419,Month,36.314,Month,25%
Azure Batch,Azure Batch,,ITEM-00233,43.127,Month,32.345,Month,25%
Azure Event Hubs,Azure Event Hubs,,ITEM-00234,35.337,Month,26.503,Month,25%
Azure App Service,Azure App Service,,ITEM-00235,23.937,Month,17.953,Month,25%
Azure Site Recovery,Azure Site Recovery,,ITEM-00236,39.483,Month,29.612,Month,25%
Azure Data Factory,Azure Data Factory,,ITEM-00237,31.502,Month,23.627,Month,25%
Azure DNS,Azure DNS,,ITEM-00238,13.812,Month,10.359,Month,25%
Azure Blob Storage,Azure Blob Storage,,ITEM-00239,22.543,Month,16.907,Month,25%
Azure Arc,Azure Arc,,ITEM-00240,0.17,Month,0.128,Month,25%
Azure Bastion,Azure Bastion,,ITEM-00241,44.404,Month,33.303,Month,25%
Azure Cosmos DB,Azure Cosmos DB,,ITEM-00242,6.861,Month,5.146,Month,25%
Azure Virtual Network,Azure Virtual Network,,ITEM-00243,41.361,Month,31.021,Month,25%
Azure Logic Apps,Azure Logic Apps,,ITEM-00244,2.408,Month,1.806,Month,25%
Azure Purview,Azure Purview,,ITEM-00245,24.369,Month,18.277,Month,25%
Azure Monitor,Azure Monitor,,ITEM-00246,18.151,Month,13.613,Month,25%
Azure Firewall,Azure Firewall,,ITEM-00247,36.519,Month,27.389,Month,25%
Azure Synapse Analytics,Azure Synapse Analytics,,ITEM-00248,1.795,Month,1.346,Month,25%
Azure Service Bus,Azure Service Bus,,ITEM-00249,40.054,Month,30.041,Month,25%
Azure SQL Database,Azure SQL Database,,ITEM-00250,5.346,Month,4.01,Month,25%
Azure Front Door,Azure Front Door,,ITEM-00251,45.326,Month,33.995,Month,25%
Azure SQL Database,Azure SQL Database,,ITEM-00252,38.887,Month,29.165,Month,25%
Azure Virtual Network,Azure Virtual Network,,ITEM-00253,27.859,Month,20.894,Month,25%
Azure Firewall,Azure Firewall,,ITEM-00254,18.213,Month,13.66,Month,25%
Azure SQL Database,Azure SQL Database,,ITEM-00255,23.127,Month,17.345,Month,25%
Azure Batch,Azure Batch,,ITEM-00256,38.265,Month,28.699,Month,25%
Azure HDInsight,Azure HDInsight,,ITEM-00257,32.849,Month,24.637,Month,25%
Azure Key Vault,Azure Key Vault,,ITEM-00258,24.381,Month,18.286,Month,25%
Azure Private Link,Azure Private Link,,ITEM-00259,27.529,Month,20.647,Month,25%
Azure Private Link,Azure Private Link,,ITEM-00260,49.601,Month,37.201,Month,25%
Azure App Service,Azure App Service,,ITEM-00261,8.678,Month,6.509,Month,25%
Azure Virtual Machines,Azure Virtual Machines,,ITEM-00262,42.656,Month,31.992,Month,25%
Azure Traffic Manager,Azure Traffic Manager,,ITEM-00263,26.642,Month,19.982,Month,25%
Azure Virtual Machines,Azure Virtual Machines,,ITEM-00264,42.404,Month,31.803,Month,25%
Azure Machine Learning,Azure Machine Learning,,ITEM-00265,41.317,Month,30.988,Month,25%
Azure Cache for Redis,Azure Cache for Redis,,ITEM-00266,10.312,Month,7.734,Month,25%
Azure API Management,Azure API Management,,ITEM-00267,19.245,Month,14.434,Month,25%
Azure SQL Database,Azure SQL Database,,ITEM-00268,5.055,Month,3.791,Month,25%
Azure Batch,Azure Batch,,ITEM-00269,37.747,Month,28.31,Month,25%
Azure Bastion,Azure Bastion,,ITEM-00270,45.012,Month,33.759,Month,25%
Azure HDInsight,Azure HDInsight,,ITEM-00271,46.56,Month,34.92,Month,25%
Azure Arc,Azure Arc,,ITEM-00272,27.835,Month,20.876,Month,25%
Azure Private Link,Azure Private Link,,ITEM-00273,38.215,Month,28.661,Month,25%
Azure Backup,Azure Backup,,ITEM-00274,23.883,Month,17.912,Month,25%
Azure Backup,Azure Backup,,ITEM-00275,49.185,Month,36.889,Month,25%
Azure SignalR Service,Azure SignalR Service,,ITEM-00276,19.62,Month,14.715,Month,25%
Azure Virtual Machines,Azure Virtual Machines,,ITEM-00277,46.179,Month,34.634,Month,25%
Azure Traffic Manager,Azure Traffic Manager,,ITEM-00278,37.768,Month,28.326,Month,25%
Azure Batch,Azure Batch,,ITEM-00279,11.796,Month,8.847,Month,25%
Azure HDInsight,Azure HDInsight,,ITEM-00280,5.19,Month,3.893,Month,25%
Azure API Management,Azure API Management,,ITEM-00281,12.307,Month,9.23,Month,25%
Azure Purview,Azure Purview,,ITEM-00282,20.819,Month,15.614,Month,25%
Azure Bastion,Azure Bastion,,ITEM-00283,18.746,Month,14.059,Month,25%
Azure Batch,Azure Batch,,ITEM-00284,45.732,Month,34.299,Month,25%
Azure Data Factory,Azure Data Factory,,ITEM-00285,16.451,Month,12.338,Month,25%
Azure Purview,Azure Purview,,ITEM-00286,2.891,Month,2.168,Month,25%
Azure Analysis Services,Azure Analysis Services,,ITEM-00287,9.309,Month,6.982,Month,25%
Azure SignalR Service,Azure SignalR Service,,ITEM-00288,16.144,Month,12.108,Month,25%
Azure Databricks,Azure Databricks,,ITEM-00289,8.377,Month,6.283,Month,25%
Azure HDInsight,Azure HDInsight,,ITEM-00290,36.546,Month,27.41,Month,25%
Azure Advisor,Azure Advisor,,ITEM-00291,25.784,Month,19.338,Month,25%
Azure Container Instances,Azure Container Instances,,ITEM-00292,49.877,Month,37.408,Month,25%
Azure DNS,Azure DNS,,ITEM-00293,10.344,Month,7.758,Month,25%
Azure Traffic Manager,Azure Traffic Manager,,ITEM-00294,42.782,Month,32.087,Month,25%
Azure Spring Apps,Azure Spring Apps,,ITEM-00295,25.52,Month,19.14,Month,25%
Azure Active Directory,Azure Active Directory,,ITEM-00296,9.386,Month,7.039,Month,25%
Azure Spring Apps,Azure Spring Apps,,ITEM-00297,29.119,Month,21.839,Month,25%
Azure Event Hubs,Azure Event Hubs,,ITEM-00298,20.703,Month,15.527,Month,25%
Azure Databricks,Azure Databricks,,ITEM-00299,28.657,Month,21.493,Month,25%
Azure Analysis Services,Azure Analysis Services,,ITEM-00300,33.408,Month,25.056,Month,25%
Azure Analysis Services,Azure Analysis Services,,ITEM-00301,16.422,Month,12.317,Month,25%
Azure Batch,Azure Batch,,ITEM-00302,27.906,Month,20.929,Month,25%
Azure Functions,Azure Functions,,ITEM-00303,45.457,Month,34.093,Month,25%
Azure Databricks,Azure Databricks,,ITEM-00304,11.082,Month,8.312,Month,25%
Azure Monitor,Azure Monitor,,ITEM-00305,13.0,Month,9.75,Month,25%
Azure Cosmos DB,Azure Cosmos DB,,ITEM-00306,13.584,Month,10.188,Month,25%
Azure DNS,Azure DNS,,ITEM-00307,43.817,Month,32.863,Month,25%
Azure HDInsight,Azure HDInsight,,ITEM-00308,47.202,Month,35.401,Month,25%
Azure Virtual Network,Azure Virtual Network,,ITEM-00309,27.703,Month,20.777,Month,25%
Azure Active Directory,Azure Active Directory,,ITEM-00310,1.999,Month,1.499,Month,25%
Azure Stream Analytics,Azure Stream Analytics,,ITEM-00311,27.952,Month,20.964,Month,25%
Azure Stream Analytics,Azure Stream Analytics,,ITEM-00312,16.678,Month,12.509,Month,25%
Azure Active Directory,Azure Active Directory,,ITEM-00313,28.405,Month,21.304,Month,25%
