ExceptionuniqueID,csoshortname,impactlevel,ExceptionStatus,ExceptionPwsRequirement,ExceptionBasisForRequest,ExceptionSecurity
EX-098A699D,Vertex AI,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-93D5FD12,Cloud KMS,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-846F14D4,Cloud Healthcare API,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-23EBA8BF,Cloud Load Balancing,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-09B37256,BigQuery,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-0DAC61DA,Cloud CDN,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-75511AAA,Cloud Armor,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-E27D2393,Compute Engine,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-F0A14EC0,Cloud Deployment Manager,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-AD00ABFD,Workflows,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-90AF7874,Cloud Build,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-7B261B75,Cloud Logging,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-D9344097,Cloud DNS,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-5F557A2A,Cloud Run,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-B1FE3C05,Cloud Load Balancing,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-84341061,BigQuery,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-6872A77D,Cloud Build,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-EBB0CB5D,Secret Manager,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-3F9E0C31,Cloud Monitoring,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-52E63188,Artifact Registry,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-FC4F1050,Cloud Load Balancing,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-455B798A,Cloud Source Repositories,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-2B491528,Cloud Profiler,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-872EAE3C,Cloud Bigtable,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-CB40B140,Artifact Registry,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-2E8E38EE,Cloud KMS,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-930CA47D,Cloud Scheduler,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-D27E7CAB,Cloud SQL,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-FA684DE2,Cloud KMS,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-1FD89D65,Cloud Load Balancing,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-EEAA1545,VPC Network,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-EECB3CCE,Cloud SQL,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-71EDCF8E,Artifact Registry,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-E17A6535,Google Kubernetes Engine (GKE),IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-DA3E0A57,Google Kubernetes Engine (GKE),IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-7A0DA4E3,Cloud Scheduler,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-481C0114,Cloud Profiler,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-DD3CD069,Memorystore,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-5874BF41,Cloud Source Repositories,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-3A9C72DA,Vertex AI,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-A06302FE,BigQuery,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-1025E056,Cloud Build,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-3B097C91,Cloud Bigtable,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-51298278,Firestore,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-D4B014EB,Compute Engine,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-206696C8,Cloud SQL,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-73D4EFF6,Cloud Spanner,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-C860E25C,Cloud Logging,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-188136CE,Cloud Deployment Manager,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-C5FCDEDE,VPC Network,IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-D8B4FC62,Cloud KMS,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-5AF660CD,Google Kubernetes Engine (GKE),IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-217393C4,Error Reporting,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-9950F8F8,Cloud Functions,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-722666D4,VPC Network,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-AD5D8836,Cloud Identity,IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-A727956E,Cloud Storage,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-2E8ACF7D,Cloud Bigtable,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-F61430A4,Dataproc,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-A7F0FC25,Cloud DNS,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-76E1B865,Cloud Load Balancing,IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-592CEFCA,VPC Network,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-51F81B3B,Cloud Armor,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-E5B23F2B,Firestore,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-836216C7,Cloud DNS,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-B947F693,Cloud Logging,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-0C9C63F7,Cloud Armor,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-637F4AA1,Workflows,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-3D2A2F85,Artifact Registry,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-968A0FD5,Cloud DNS,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-F53C5CA6,Memorystore,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-C0AB7638,Memorystore,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-490A658A,Cloud Bigtable,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-1067F075,Memorystore,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-A9716494,Cloud Armor,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-74794C01,Cloud Build,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-33151245,Cloud Spanner,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-D2251F60,Cloud Bigtable,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-CC841948,Cloud Run,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-DFC150EF,Workflows,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-2D50C592,Memorystore,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-84E13BD3,App Engine,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-FD07C431,Cloud Storage,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-8A8B16A8,Workflows,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-D629980F,Vertex AI,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-5D81A83B,Cloud CDN,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-646AF389,Cloud Profiler,IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-5640558A,Cloud Bigtable,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-A777A34C,Dataflow,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-75FC2241,Secret Manager,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-1AA8D511,Vertex AI,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-4BF9A6E9,Cloud CDN,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-D94A1311,Cloud Monitoring,IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-48B7035B,Dataflow,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-F88ADD86,Cloud Run,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-E5FA4467,Error Reporting,IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-7128AF5F,Cloud Run,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-5E343EEE,Cloud Spanner,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-914B6A37,Error Reporting,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-D1F9D63F,Dataproc,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-C6B1F911,Cloud Logging,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-9D74DC53,Dataflow,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-319F56E2,Cloud Source Repositories,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-1239C0CD,VPC Network,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-612F08A6,Cloud Build,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-FA99C62F,Cloud KMS,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-F5F4B624,Cloud IAM,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-8BBE34A4,Cloud Logging,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-57479C4B,Cloud Profiler,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-51292FA3,Google Kubernetes Engine (GKE),IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-4BF5047C,Cloud Build,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-AE15E37F,Cloud Source Repositories,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-A6893ED6,Cloud Load Balancing,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-6AEF9A73,Cloud Spanner,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-F224A31E,Cloud Storage,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-71366563,Cloud Trace,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-66ACAB4B,Compute Engine,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-DBDAD563,Cloud Trace,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-C0DAAF82,BigQuery,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
