"title","csoShortName","description","catalogitemNumber","commercialUnitPrice","commercialunitofissue","customerunitprice","customerunitofissue","discountpremiumfee"
"AWS CDN Distribution (5)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00020","14.354","Month","10.766","Month","25%"
"AZURE CDN Distribution (5)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00021","13.693","Month","10.27","Month","25%"
"GCP CDN Distribution (5)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00022","17.561","Month","13.171","Month","25%"
"ORACLE CDN Distribution (5)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00023","7.07","Month","5.302","Month","25%"
"AWS Virtual Machine (6)","Virtual Machine","Standard enterprise mapping for Virtual Machine","ITEM-00024","6.021","Month","4.516","Month","25%"
"AZURE Virtual Machine (6)","Virtual Machine","Standard enterprise mapping for Virtual Machine","ITEM-00025","19.797","Month","14.848","Month","25%"
"GCP Virtual Machine (6)","Virtual Machine","Standard enterprise mapping for Virtual Machine","ITEM-00026","4.144","Month","3.108","Month","25%"
"ORACLE Virtual Machine (6)","Virtual Machine","Standard enterprise mapping for Virtual Machine","ITEM-00027","0.779","Month","0.584","Month","25%"
"AWS Load Balancer (7)","Load Balancer","Standard enterprise mapping for Load Balancer","ITEM-00028","10.08","Month","7.56","Month","25%"
"AZURE Load Balancer (7)","Load Balancer","Standard enterprise mapping for Load Balancer","ITEM-00029","6.149","Month","4.612","Month","25%"
"GCP Load Balancer (7)","Load Balancer","Standard enterprise mapping for Load Balancer","ITEM-00030","7.806","Month","5.854","Month","25%"
"ORACLE Load Balancer (7)","Load Balancer","Standard enterprise mapping for Load Balancer","ITEM-00031","12.599","Month","9.449","Month","25%"
"AWS WAF Policy (8)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00032","4.163","Month","3.122","Month","25%"
"AZURE WAF Policy (8)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00033","19.262","Month","14.446","Month","25%"
"GCP WAF Policy (8)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00034","0.718","Month","0.538","Month","25%"
"ORACLE WAF Policy (8)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00035","3.758","Month","2.818","Month","25%"
"AWS ML Endpoint (9)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00036","13.799","Month","10.349","Month","25%"
"AZURE ML Endpoint (9)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00037","4.586","Month","3.44","Month","25%"
"GCP ML Endpoint (9)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00038","7.982","Month","5.986","Month","25%"
"ORACLE ML Endpoint (9)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00039","5.702","Month","4.276","Month","25%"
"AWS WAF Policy (10)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00040","14.38","Month","10.785","Month","25%"
"AZURE WAF Policy (10)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00041","12.341","Month","9.256","Month","25%"
"GCP WAF Policy (10)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00042","17.801","Month","13.351","Month","25%"
"ORACLE WAF Policy (10)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00043","9.926","Month","7.444","Month","25%"
"AWS Virtual Machine (11)","Virtual Machine","Standard enterprise mapping for Virtual Machine","ITEM-00044","7.892","Month","5.919","Month","25%"
"AZURE Virtual Machine (11)","Virtual Machine","Standard enterprise mapping for Virtual Machine","ITEM-00045","9.232","Month","6.924","Month","25%"
"GCP Virtual Machine (11)","Virtual Machine","Standard enterprise mapping for Virtual Machine","ITEM-00046","17.315","Month","12.986","Month","25%"
"ORACLE Virtual Machine (11)","Virtual Machine","Standard enterprise mapping for Virtual Machine","ITEM-00047","5.702","Month","4.276","Month","25%"
"AWS Analysis Service (12)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00048","7.032","Month","5.274","Month","25%"
"AZURE Analysis Service (12)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00049","6.238","Month","4.679","Month","25%"
"GCP Analysis Service (12)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00050","18.851","Month","14.138","Month","25%"
"ORACLE Analysis Service (12)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00051","12.842","Month","9.632","Month","25%"
"AWS CDN Distribution (13)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00052","18.469","Month","13.852","Month","25%"
"AZURE CDN Distribution (13)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00053","18.222","Month","13.667","Month","25%"
"GCP CDN Distribution (13)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00054","4.11","Month","3.083","Month","25%"
"ORACLE CDN Distribution (13)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00055","10.096","Month","7.572","Month","25%"
"AWS Analysis Service (14)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00056","3.392","Month","2.544","Month","25%"
"AZURE Analysis Service (14)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00057","13.825","Month","10.369","Month","25%"
"GCP Analysis Service (14)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00058","4.562","Month","3.422","Month","25%"
"ORACLE Analysis Service (14)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00059","10.183","Month","7.637","Month","25%"
"AWS Transcription API (15)","Transcription API","Standard enterprise mapping for Transcription API","ITEM-00060","2.599","Month","1.949","Month","25%"
"AZURE Transcription API (15)","Transcription API","Standard enterprise mapping for Transcription API","ITEM-00061","8.066","Month","6.05","Month","25%"
"GCP Transcription API (15)","Transcription API","Standard enterprise mapping for Transcription API","ITEM-00062","5.831","Month","4.373","Month","25%"
"ORACLE Transcription API (15)","Transcription API","Standard enterprise mapping for Transcription API","ITEM-00063","17.839","Month","13.379","Month","25%"
"AWS IAM User (16)","IAM User","Standard enterprise mapping for IAM User","ITEM-00064","19.326","Month","14.494","Month","25%"
"AZURE IAM User (16)","IAM User","Standard enterprise mapping for IAM User","ITEM-00065","14.147","Month","10.61","Month","25%"
"GCP IAM User (16)","IAM User","Standard enterprise mapping for IAM User","ITEM-00066","18.519","Month","13.889","Month","25%"
"ORACLE IAM User (16)","IAM User","Standard enterprise mapping for IAM User","ITEM-00067","8.131","Month","6.098","Month","25%"
"AWS Analysis Service (17)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00068","2.216","Month","1.662","Month","25%"
"AZURE Analysis Service (17)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00069","0.994","Month","0.746","Month","25%"
"GCP Analysis Service (17)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00070","6.064","Month","4.548","Month","25%"
"ORACLE Analysis Service (17)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00071","17.239","Month","12.929","Month","25%"
"AWS Managed SQL (18)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00072","15.717","Month","11.788","Month","25%"
"AZURE Managed SQL (18)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00073","4.978","Month","3.734","Month","25%"
"GCP Managed SQL (18)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00074","5.506","Month","4.13","Month","25%"
"ORACLE Managed SQL (18)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00075","15.862","Month","11.896","Month","25%"
"AWS IAM User (19)","IAM User","Standard enterprise mapping for IAM User","ITEM-00076","1.903","Month","1.427","Month","25%"
"AZURE IAM User (19)","IAM User","Standard enterprise mapping for IAM User","ITEM-00077","16.608","Month","12.456","Month","25%"
"GCP IAM User (19)","IAM User","Standard enterprise mapping for IAM User","ITEM-00078","15.581","Month","11.686","Month","25%"
"ORACLE IAM User (19)","IAM User","Standard enterprise mapping for IAM User","ITEM-00079","15.468","Month","11.601","Month","25%"
"AWS IAM User (20)","IAM User","Standard enterprise mapping for IAM User","ITEM-00080","19.89","Month","14.918","Month","25%"
"AZURE IAM User (20)","IAM User","Standard enterprise mapping for IAM User","ITEM-00081","18.941","Month","14.206","Month","25%"
"GCP IAM User (20)","IAM User","Standard enterprise mapping for IAM User","ITEM-00082","11.253","Month","8.44","Month","25%"
"ORACLE IAM User (20)","IAM User","Standard enterprise mapping for IAM User","ITEM-00083","15.992","Month","11.994","Month","25%"
"AWS Object Bucket (21)","Object Bucket","Standard enterprise mapping for Object Bucket","ITEM-00084","4.865","Month","3.649","Month","25%"
"AZURE Object Bucket (21)","Object Bucket","Standard enterprise mapping for Object Bucket","ITEM-00085","2.115","Month","1.586","Month","25%"
"GCP Object Bucket (21)","Object Bucket","Standard enterprise mapping for Object Bucket","ITEM-00086","9.487","Month","7.115","Month","25%"
"ORACLE Object Bucket (21)","Object Bucket","Standard enterprise mapping for Object Bucket","ITEM-00087","3.209","Month","2.407","Month","25%"
"AWS IAM User (22)","IAM User","Standard enterprise mapping for IAM User","ITEM-00088","12.196","Month","9.147","Month","25%"
"AZURE IAM User (22)","IAM User","Standard enterprise mapping for IAM User","ITEM-00089","16.069","Month","12.052","Month","25%"
"GCP IAM User (22)","IAM User","Standard enterprise mapping for IAM User","ITEM-00090","16.008","Month","12.006","Month","25%"
"ORACLE IAM User (22)","IAM User","Standard enterprise mapping for IAM User","ITEM-00091","8.42","Month","6.315","Month","25%"
"AWS KMS Key (23)","KMS Key","Standard enterprise mapping for KMS Key","ITEM-00092","13.888","Month","10.416","Month","25%"
"AZURE KMS Key (23)","KMS Key","Standard enterprise mapping for KMS Key","ITEM-00093","7.072","Month","5.304","Month","25%"
"GCP KMS Key (23)","KMS Key","Standard enterprise mapping for KMS Key","ITEM-00094","13.841","Month","10.381","Month","25%"
"ORACLE KMS Key (23)","KMS Key","Standard enterprise mapping for KMS Key","ITEM-00095","11.285","Month","8.464","Month","25%"
"AWS Managed SQL (24)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00096","1.783","Month","1.337","Month","25%"
"AZURE Managed SQL (24)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00097","17.966","Month","13.474","Month","25%"
"GCP Managed SQL (24)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00098","13.156","Month","9.867","Month","25%"
"ORACLE Managed SQL (24)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00099","16.088","Month","12.066","Month","25%"
"AWS IAM User (25)","IAM User","Standard enterprise mapping for IAM User","ITEM-00100","13.455","Month","10.091","Month","25%"
"AZURE IAM User (25)","IAM User","Standard enterprise mapping for IAM User","ITEM-00101","12.757","Month","9.568","Month","25%"
"GCP IAM User (25)","IAM User","Standard enterprise mapping for IAM User","ITEM-00102","13.203","Month","9.902","Month","25%"
"ORACLE IAM User (25)","IAM User","Standard enterprise mapping for IAM User","ITEM-00103","3.304","Month","2.478","Month","25%"
"AWS CDN Distribution (26)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00104","8.065","Month","6.049","Month","25%"
"AZURE CDN Distribution (26)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00105","14.275","Month","10.706","Month","25%"
"GCP CDN Distribution (26)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00106","15.723","Month","11.792","Month","25%"
"ORACLE CDN Distribution (26)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00107","2.133","Month","1.6","Month","25%"
"AWS IAM User (27)","IAM User","Standard enterprise mapping for IAM User","ITEM-00108","13.999","Month","10.499","Month","25%"
"AZURE IAM User (27)","IAM User","Standard enterprise mapping for IAM User","ITEM-00109","4.888","Month","3.666","Month","25%"
"GCP IAM User (27)","IAM User","Standard enterprise mapping for IAM User","ITEM-00110","2.755","Month","2.066","Month","25%"
"ORACLE IAM User (27)","IAM User","Standard enterprise mapping for IAM User","ITEM-00111","17.798","Month","13.348","Month","25%"
"AWS CDN Distribution (28)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00112","10.527","Month","7.895","Month","25%"
"AZURE CDN Distribution (28)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00113","19.069","Month","14.302","Month","25%"
"GCP CDN Distribution (28)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00114","6.692","Month","5.019","Month","25%"
"ORACLE CDN Distribution (28)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00115","6.861","Month","5.146","Month","25%"
"AWS ML Endpoint (29)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00116","2.63","Month","1.972","Month","25%"
"AZURE ML Endpoint (29)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00117","1.002","Month","0.752","Month","25%"
"GCP ML Endpoint (29)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00118","8.488","Month","6.366","Month","25%"
"ORACLE ML Endpoint (29)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00119","3.533","Month","2.65","Month","25%"
"AWS Analysis Service (30)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00120","18.243","Month","13.682","Month","25%"
"AZURE Analysis Service (30)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00121","16.216","Month","12.162","Month","25%"
"GCP Analysis Service (30)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00122","10.492","Month","7.869","Month","25%"
"ORACLE Analysis Service (30)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00123","3.47","Month","2.602","Month","25%"
"AWS Load Balancer (31)","Load Balancer","Standard enterprise mapping for Load Balancer","ITEM-00124","12.322","Month","9.241","Month","25%"
"AZURE Load Balancer (31)","Load Balancer","Standard enterprise mapping for Load Balancer","ITEM-00125","16.5","Month","12.375","Month","25%"
"GCP Load Balancer (31)","Load Balancer","Standard enterprise mapping for Load Balancer","ITEM-00126","7.539","Month","5.654","Month","25%"
"ORACLE Load Balancer (31)","Load Balancer","Standard enterprise mapping for Load Balancer","ITEM-00127","15.55","Month","11.663","Month","25%"
"AWS CDN Distribution (32)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00128","14.644","Month","10.983","Month","25%"
"AZURE CDN Distribution (32)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00129","14.984","Month","11.238","Month","25%"
"GCP CDN Distribution (32)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00130","13.951","Month","10.463","Month","25%"
"ORACLE CDN Distribution (32)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00131","4.955","Month","3.716","Month","25%"
"AWS KMS Key (33)","KMS Key","Standard enterprise mapping for KMS Key","ITEM-00132","12.172","Month","9.129","Month","25%"
"AZURE KMS Key (33)","KMS Key","Standard enterprise mapping for KMS Key","ITEM-00133","1.509","Month","1.132","Month","25%"
"GCP KMS Key (33)","KMS Key","Standard enterprise mapping for KMS Key","ITEM-00134","7.685","Month","5.764","Month","25%"
"ORACLE KMS Key (33)","KMS Key","Standard enterprise mapping for KMS Key","ITEM-00135","5.472","Month","4.104","Month","25%"
"AWS WAF Policy (34)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00136","2.984","Month","2.238","Month","25%"
"AZURE WAF Policy (34)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00137","8.068","Month","6.051","Month","25%"
"GCP WAF Policy (34)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00138","17.48","Month","13.11","Month","25%"
"ORACLE WAF Policy (34)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00139","17.304","Month","12.978","Month","25%"
"AWS CDN Distribution (35)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00140","19.722","Month","14.792","Month","25%"
"AZURE CDN Distribution (35)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00141","6.735","Month","5.051","Month","25%"
"GCP CDN Distribution (35)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00142","5.351","Month","4.013","Month","25%"
"ORACLE CDN Distribution (35)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00143","16.713","Month","12.535","Month","25%"
"AWS Managed SQL (36)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00144","1.281","Month","0.961","Month","25%"
"AZURE Managed SQL (36)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00145","12.803","Month","9.602","Month","25%"
"GCP Managed SQL (36)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00146","10.455","Month","7.841","Month","25%"
"ORACLE Managed SQL (36)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00147","12.641","Month","9.481","Month","25%"
"AWS WAF Policy (37)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00148","5.422","Month","4.066","Month","25%"
"AZURE WAF Policy (37)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00149","10.823","Month","8.117","Month","25%"
"GCP WAF Policy (37)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00150","4.667","Month","3.5","Month","25%"
"ORACLE WAF Policy (37)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00151","6.407","Month","4.805","Month","25%"
"AWS IAM User (38)","IAM User","Standard enterprise mapping for IAM User","ITEM-00152","7.829","Month","5.872","Month","25%"
"AZURE IAM User (38)","IAM User","Standard enterprise mapping for IAM User","ITEM-00153","13.533","Month","10.15","Month","25%"
"GCP IAM User (38)","IAM User","Standard enterprise mapping for IAM User","ITEM-00154","12.372","Month","9.279","Month","25%"
"ORACLE IAM User (38)","IAM User","Standard enterprise mapping for IAM User","ITEM-00155","7.053","Month","5.29","Month","25%"
"AWS ML Endpoint (39)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00156","1.675","Month","1.256","Month","25%"
"AZURE ML Endpoint (39)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00157","2.21","Month","1.658","Month","25%"
"GCP ML Endpoint (39)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00158","18.621","Month","13.966","Month","25%"
"ORACLE ML Endpoint (39)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00159","11.205","Month","8.404","Month","25%"
"AWS Transcription API (40)","Transcription API","Standard enterprise mapping for Transcription API","ITEM-00160","11.658","Month","8.744","Month","25%"
"AZURE Transcription API (40)","Transcription API","Standard enterprise mapping for Transcription API","ITEM-00161","13.747","Month","10.31","Month","25%"
"GCP Transcription API (40)","Transcription API","Standard enterprise mapping for Transcription API","ITEM-00162","14.005","Month","10.504","Month","25%"
"ORACLE Transcription API (40)","Transcription API","Standard enterprise mapping for Transcription API","ITEM-00163","16.916","Month","12.687","Month","25%"
"AWS WAF Policy (41)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00164","16.287","Month","12.215","Month","25%"
"AZURE WAF Policy (41)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00165","18.71","Month","14.032","Month","25%"
"GCP WAF Policy (41)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00166","1.933","Month","1.45","Month","25%"
"ORACLE WAF Policy (41)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00167","9.55","Month","7.163","Month","25%"
"AWS ML Endpoint (42)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00168","16.088","Month","12.066","Month","25%"
"AZURE ML Endpoint (42)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00169","6.515","Month","4.886","Month","25%"
"GCP ML Endpoint (42)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00170","8.716","Month","6.537","Month","25%"
"ORACLE ML Endpoint (42)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00171","3.606","Month","2.704","Month","25%"
"AWS IAM User (43)","IAM User","Standard enterprise mapping for IAM User","ITEM-00172","6.25","Month","4.688","Month","25%"
"AZURE IAM User (43)","IAM User","Standard enterprise mapping for IAM User","ITEM-00173","17.777","Month","13.333","Month","25%"
"GCP IAM User (43)","IAM User","Standard enterprise mapping for IAM User","ITEM-00174","9.121","Month","6.841","Month","25%"
"ORACLE IAM User (43)","IAM User","Standard enterprise mapping for IAM User","ITEM-00175","14.58","Month","10.935","Month","25%"
"AWS ML Endpoint (44)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00176","1.85","Month","1.388","Month","25%"
"AZURE ML Endpoint (44)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00177","1.319","Month","0.989","Month","25%"
"GCP ML Endpoint (44)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00178","6.149","Month","4.612","Month","25%"
"ORACLE ML Endpoint (44)","ML Endpoint","Standard enterprise mapping for ML Endpoint","ITEM-00179","14.231","Month","10.673","Month","25%"
"AWS WAF Policy (45)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00180","6.618","Month","4.964","Month","25%"
"AZURE WAF Policy (45)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00181","16.808","Month","12.606","Month","25%"
"GCP WAF Policy (45)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00182","7.176","Month","5.382","Month","25%"
"ORACLE WAF Policy (45)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00183","10.296","Month","7.722","Month","25%"
"AWS Analysis Service (46)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00184","8.463","Month","6.347","Month","25%"
"AZURE Analysis Service (46)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00185","19.695","Month","14.771","Month","25%"
"GCP Analysis Service (46)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00186","10.078","Month","7.558","Month","25%"
"ORACLE Analysis Service (46)","Analysis Service","Standard enterprise mapping for Analysis Service","ITEM-00187","18.871","Month","14.153","Month","25%"
"AWS KMS Key (47)","KMS Key","Standard enterprise mapping for KMS Key","ITEM-00188","14.007","Month","10.505","Month","25%"
"AZURE KMS Key (47)","KMS Key","Standard enterprise mapping for KMS Key","ITEM-00189","18.653","Month","13.99","Month","25%"
"GCP KMS Key (47)","KMS Key","Standard enterprise mapping for KMS Key","ITEM-00190","17.381","Month","13.036","Month","25%"
"ORACLE KMS Key (47)","KMS Key","Standard enterprise mapping for KMS Key","ITEM-00191","14.25","Month","10.688","Month","25%"
"AWS Object Bucket (48)","Object Bucket","Standard enterprise mapping for Object Bucket","ITEM-00192","8.603","Month","6.452","Month","25%"
"AZURE Object Bucket (48)","Object Bucket","Standard enterprise mapping for Object Bucket","ITEM-00193","11.808","Month","8.856","Month","25%"
"GCP Object Bucket (48)","Object Bucket","Standard enterprise mapping for Object Bucket","ITEM-00194","14.028","Month","10.521","Month","25%"
"ORACLE Object Bucket (48)","Object Bucket","Standard enterprise mapping for Object Bucket","ITEM-00195","17.969","Month","13.477","Month","25%"
"AWS IAM User (49)","IAM User","Standard enterprise mapping for IAM User","ITEM-00196","1.183","Month","0.887","Month","25%"
"AZURE IAM User (49)","IAM User","Standard enterprise mapping for IAM User","ITEM-00197","19.967","Month","14.975","Month","25%"
"GCP IAM User (49)","IAM User","Standard enterprise mapping for IAM User","ITEM-00198","0.838","Month","0.628","Month","25%"
"ORACLE IAM User (49)","IAM User","Standard enterprise mapping for IAM User","ITEM-00199","6.925","Month","5.194","Month","25%"
"AWS Transcription API (50)","Transcription API","Standard enterprise mapping for Transcription API","ITEM-00200","3.633","Month","2.725","Month","25%"
"AZURE Transcription API (50)","Transcription API","Standard enterprise mapping for Transcription API","ITEM-00201","19.697","Month","14.773","Month","25%"
"GCP Transcription API (50)","Transcription API","Standard enterprise mapping for Transcription API","ITEM-00202","0.505","Month","0.379","Month","25%"
"ORACLE Transcription API (50)","Transcription API","Standard enterprise mapping for Transcription API","ITEM-00203","14.367","Month","10.775","Month","25%"
"AWS Managed SQL (51)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00204","5.471","Month","4.103","Month","25%"
"AZURE Managed SQL (51)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00205","16.023","Month","12.017","Month","25%"
"GCP Managed SQL (51)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00206","2.141","Month","1.606","Month","25%"
"ORACLE Managed SQL (51)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00207","8.93","Month","6.698","Month","25%"
"AWS Virtual Machine (52)","Virtual Machine","Standard enterprise mapping for Virtual Machine","ITEM-00208","18.773","Month","14.08","Month","25%"
"AZURE Virtual Machine (52)","Virtual Machine","Standard enterprise mapping for Virtual Machine","ITEM-00209","13.6","Month","10.2","Month","25%"
"GCP Virtual Machine (52)","Virtual Machine","Standard enterprise mapping for Virtual Machine","ITEM-00210","17.817","Month","13.363","Month","25%"
"ORACLE Virtual Machine (52)","Virtual Machine","Standard enterprise mapping for Virtual Machine","ITEM-00211","12.53","Month","9.397","Month","25%"
"AWS Managed SQL (53)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00212","17.715","Month","13.286","Month","25%"
"AZURE Managed SQL (53)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00213","9.558","Month","7.168","Month","25%"
"GCP Managed SQL (53)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00214","12.533","Month","9.4","Month","25%"
"ORACLE Managed SQL (53)","Managed SQL","Standard enterprise mapping for Managed SQL","ITEM-00215","16.677","Month","12.508","Month","25%"
"AWS WAF Policy (54)","WAF Policy","Standard enterprise mapping for WAF Policy","ITEM-00216","2.281","Month","1.711","Month","25%"
